Timestamp,Emotion,Confidence
00-00-03.203,neutral,"{'angry': 0.0012950381496921182, 'disgust': 4.5009396210105024e-10, 'fear': 5.151907680556178e-05, 'happy': 0.0029169584158807993, 'sad': 0.009394261986017227, 'surprise': 7.670901140954811e-06, 'neutral': 99.98633575439453}"
00-00-03.403,neutral,"{'angry': 0.0012950381496921182, 'disgust': 4.5009396210105024e-10, 'fear': 5.151907680556178e-05, 'happy': 0.0029169584158807993, 'sad': 0.009394261986017227, 'surprise': 7.670901140954811e-06, 'neutral': 99.98633575439453}"
00-00-03.604,neutral,"{'angry': 0.0014486138243228197, 'disgust': 5.242511633141156e-11, 'fear': 3.5229513741796836e-05, 'happy': 8.651647658552974e-05, 'sad': 0.026620453223586082, 'surprise': 3.611771717260126e-07, 'neutral': 99.97180938720703}"
00-00-03.804,neutral,"{'angry': 0.0014486138243228197, 'disgust': 5.242511633141156e-11, 'fear': 3.5229513741796836e-05, 'happy': 8.651647658552974e-05, 'sad': 0.026620453223586082, 'surprise': 3.611771717260126e-07, 'neutral': 99.97180938720703}"
00-00-04.004,neutral,"{'angry': 0.009638039395213127, 'disgust': 1.5861835456210116e-10, 'fear': 0.00019067000539507717, 'happy': 3.882778401020914e-06, 'sad': 0.14388802647590637, 'surprise': 3.177798646447627e-08, 'neutral': 99.84628295898438}"
00-00-04.204,neutral,"{'angry': 0.009638039395213127, 'disgust': 1.5861835456210116e-10, 'fear': 0.00019067000539507717, 'happy': 3.882778401020914e-06, 'sad': 0.14388802647590637, 'surprise': 3.177798646447627e-08, 'neutral': 99.84628295898438}"
00-00-04.404,neutral,"{'angry': 0.08975875377655029, 'disgust': 1.0214755263859843e-08, 'fear': 0.0030385563150048256, 'happy': 1.0963302884192672e-05, 'sad': 1.1918972730636597, 'surprise': 2.856679870433254e-08, 'neutral': 98.71530151367188}"
00-00-04.605,neutral,"{'angry': 0.08975875377655029, 'disgust': 1.0214755263859843e-08, 'fear': 0.0030385563150048256, 'happy': 1.0963302884192672e-05, 'sad': 1.1918972730636597, 'surprise': 2.856679870433254e-08, 'neutral': 98.71530151367188}"
00-00-04.805,neutral,"{'angry': 0.002466595033183694, 'disgust': 3.829273009792189e-11, 'fear': 0.00043848840869031847, 'happy': 5.319006390891445e-07, 'sad': 0.514583945274353, 'surprise': 2.6024608246189018e-08, 'neutral': 99.48251342773438}"
00-00-05.005,neutral,"{'angry': 0.002466595033183694, 'disgust': 3.829273009792189e-11, 'fear': 0.00043848840869031847, 'happy': 5.319006390891445e-07, 'sad': 0.514583945274353, 'surprise': 2.6024608246189018e-08, 'neutral': 99.48251342773438}"
00-00-05.205,neutral,"{'angry': 4.184598583378829e-05, 'disgust': 1.0589929811972293e-13, 'fear': 4.457684553926811e-06, 'happy': 4.187140802969225e-07, 'sad': 0.018002741038799286, 'surprise': 6.1991616284728934e-09, 'neutral': 99.98194122314453}"
00-00-05.405,neutral,"{'angry': 4.184598583378829e-05, 'disgust': 1.0589929811972293e-13, 'fear': 4.457684553926811e-06, 'happy': 4.187140802969225e-07, 'sad': 0.018002741038799286, 'surprise': 6.1991616284728934e-09, 'neutral': 99.98194122314453}"
00-00-05.606,neutral,"{'angry': 4.002303467132151e-05, 'disgust': 1.4484693826311013e-12, 'fear': 3.0608323413616745e-06, 'happy': 9.919196600094438e-06, 'sad': 0.011723400093615055, 'surprise': 9.239388276682803e-08, 'neutral': 99.98822021484375}"
00-00-05.806,neutral,"{'angry': 4.002303467132151e-05, 'disgust': 1.4484693826311013e-12, 'fear': 3.0608323413616745e-06, 'happy': 9.919196600094438e-06, 'sad': 0.011723400093615055, 'surprise': 9.239388276682803e-08, 'neutral': 99.98822021484375}"
00-00-06.006,neutral,"{'angry': 0.0003519629535730928, 'disgust': 2.0314644411101312e-10, 'fear': 2.1006215320085175e-05, 'happy': 0.0002208532823715359, 'sad': 0.09493353962898254, 'surprise': 1.3154652833691216e-06, 'neutral': 99.90447235107422}"
00-00-06.206,neutral,"{'angry': 0.0003519629535730928, 'disgust': 2.0314644411101312e-10, 'fear': 2.1006215320085175e-05, 'happy': 0.0002208532823715359, 'sad': 0.09493353962898254, 'surprise': 1.3154652833691216e-06, 'neutral': 99.90447235107422}"
00-00-06.406,neutral,"{'angry': 6.4594869400025345e-06, 'disgust': 1.3102445560811415e-12, 'fear': 1.974679071281571e-05, 'happy': 0.0011688759550452232, 'sad': 0.009174836799502373, 'surprise': 1.0948335329885595e-05, 'neutral': 99.98961639404297}"
00-00-06.607,neutral,"{'angry': 6.4594869400025345e-06, 'disgust': 1.3102445560811415e-12, 'fear': 1.974679071281571e-05, 'happy': 0.0011688759550452232, 'sad': 0.009174836799502373, 'surprise': 1.0948335329885595e-05, 'neutral': 99.98961639404297}"
00-00-06.807,neutral,"{'angry': 6.514397682622075e-05, 'disgust': 3.35387384531316e-09, 'fear': 0.0005472215125337243, 'happy': 0.16261525452136993, 'sad': 0.16152195632457733, 'surprise': 7.706876931479201e-05, 'neutral': 99.67517852783203}"
00-00-07.007,neutral,"{'angry': 6.514397682622075e-05, 'disgust': 3.35387384531316e-09, 'fear': 0.0005472215125337243, 'happy': 0.16261525452136993, 'sad': 0.16152195632457733, 'surprise': 7.706876931479201e-05, 'neutral': 99.67517852783203}"
00-00-07.207,neutral,"{'angry': 4.591794277075678e-05, 'disgust': 4.7075121578643575e-09, 'fear': 0.00021104933694005013, 'happy': 0.34896034002304077, 'sad': 0.14681032299995422, 'surprise': 3.335606379550882e-05, 'neutral': 99.50394439697266}"
00-00-07.407,neutral,"{'angry': 4.591794277075678e-05, 'disgust': 4.7075121578643575e-09, 'fear': 0.00021104933694005013, 'happy': 0.34896034002304077, 'sad': 0.14681032299995422, 'surprise': 3.335606379550882e-05, 'neutral': 99.50394439697266}"
00-00-07.607,neutral,"{'angry': 0.0005759940831921995, 'disgust': 6.98210499194829e-07, 'fear': 0.005766566842794418, 'happy': 5.788336277008057, 'sad': 1.9926568269729614, 'surprise': 0.00014907136210240424, 'neutral': 92.21251678466797}"
00-00-07.808,neutral,"{'angry': 0.0005759940831921995, 'disgust': 6.98210499194829e-07, 'fear': 0.005766566842794418, 'happy': 5.788336277008057, 'sad': 1.9926568269729614, 'surprise': 0.00014907136210240424, 'neutral': 92.21251678466797}"
00-00-08.008,neutral,"{'angry': 0.008461537770926952, 'disgust': 1.4271126929088496e-05, 'fear': 0.12342777103185654, 'happy': 9.031631469726562, 'sad': 12.69517993927002, 'surprise': 0.000734023516997695, 'neutral': 78.14054870605469}"
00-00-08.208,neutral,"{'angry': 0.008461537770926952, 'disgust': 1.4271126929088496e-05, 'fear': 0.12342777103185654, 'happy': 9.031631469726562, 'sad': 12.69517993927002, 'surprise': 0.000734023516997695, 'neutral': 78.14054870605469}"
00-00-08.408,neutral,"{'angry': 0.009793175384402275, 'disgust': 1.7854912584880367e-05, 'fear': 0.5678364634513855, 'happy': 12.251203536987305, 'sad': 32.68611526489258, 'surprise': 0.0019769466016441584, 'neutral': 54.48305892944336}"
00-00-08.608,neutral,"{'angry': 0.009793175384402275, 'disgust': 1.7854912584880367e-05, 'fear': 0.5678364634513855, 'happy': 12.251203536987305, 'sad': 32.68611526489258, 'surprise': 0.0019769466016441584, 'neutral': 54.48305892944336}"
00-00-08.809,neutral,"{'angry': 0.032087430357933044, 'disgust': 0.000286408350802958, 'fear': 0.8112289905548096, 'happy': 26.988550186157227, 'sad': 35.37863540649414, 'surprise': 0.0060495855286717415, 'neutral': 36.78316116333008}"
00-00-09.009,neutral,"{'angry': 0.032087430357933044, 'disgust': 0.000286408350802958, 'fear': 0.8112289905548096, 'happy': 26.988550186157227, 'sad': 35.37863540649414, 'surprise': 0.0060495855286717415, 'neutral': 36.78316116333008}"
